university_id,latent_quality,dim_research,dim_teaching,dim_international,dim_reputation,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11
U0035,60.17,59.08,50.39,17.5,44.82,253,130,420,224,271,173,297,296,240,232,181,51.01,54.48,41.91,48.47,47.65,52.35,45.84,48.46,48.49,50.56,51.42
U0036,9.97,8.4,18.83,32.62,12.44,1873,1755,1498,1623,1799,1871,1722,1828,1838,1818,1741,11.48,15.48,19.88,17.23,12.46,10.85,15.66,13.23,11.21,14.2,15.09
U0037,20.25,23.41,0.0,0.0,1.71,1742,1909,1877,1935,1887,1788,1672,1849,1869,1876,1924,16.39,9.85,9.38,6.66,9.53,13.42,17.0,12.51,10.18,11.55,8.19
U0038,53.64,49.12,47.65,14.48,31.29,376,393,457,458,390,362,592,409,491,416,343,46.84,45.28,40.77,41.12,43.58,45.47,38.34,44.67,41.02,44.76,45.35
U0039,34.71,28.59,29.71,24.71,16.54,1034,1138,1173,1224,1322,1099,1101,1377,1097,1129,1221,31.72,29.18,26.2,25.56,24.04,29.09,28.5,24.79,28.72,30.52,26.64
U0040,38.17,43.26,41.47,27.58,26.42,589,797,596,701,510,795,603,895,824,666,1082,41.15,35.8,37.22,35.76,40.82,35.73,38.1,33.82,33.71,39.09,29.68
U0041,57.65,45.26,35.99,53.21,52.49,344,276,166,145,482,336,180,333,309,276,324,47.67,48.68,51.19,51.71,41.35,46.26,50.93,47.38,46.31,49.23,45.98
U0042,52.47,51.31,45.17,42.93,46.9,301,299,195,273,360,240,337,245,307,179,331,49.41,47.94,50.0,46.8,44.44,49.95,44.68,49.99,46.36,53.3,45.78
U0043,30.26,40.43,41.64,24.06,37.16,657,500,901,816,933,756,772,645,1049,976,460,39.9,42.46,31.69,33.43,31.68,36.57,34.74,38.63,29.74,33.19,41.91
U0044,11.03,8.5,0.0,1.26,23.59,1898,1934,1802,1977,1934,1902,1954,1821,1862,1901,1934,10.31,8.21,12.31,3.49,6.52,9.83,6.71,13.43,10.44,10.75,7.9
U0045,25.05,28.81,31.35,15.5,27.67,1315,1272,1137,1307,1163,1261,734,1203,899,1414,1119,26.08,26.29,26.91,23.95,26.85,26.28,35.33,28.24,32.32,24.76,28.85
U0046,26.93,24.26,17.9,54.26,13.61,1421,1571,1143,1448,1566,1354,1452,1318,1329,962,1018,23.84,20.44,26.85,21.11,18.74,24.33,22.04,25.76,24.02,33.44,30.58
U0047,55.42,58.78,50.16,56.1,51.54,173,129,93,129,95,159,202,144,179,88,152,54.16,54.57,54.88,52.83,55.17,52.96,49.94,54.35,51.56,58.6,52.85
U0048,65.09,58.3,49.09,58.45,47.21,116,120,251,274,90,50,170,185,99,66,93,56.5,55.38,47.41,46.78,55.64,59.95,51.42,52.27,55.64,59.67,56.29
U0049,16.32,16.36,6.46,0.0,6.85,1881,1839,1903,1941,1892,1872,1976,1945,1856,1858,1903,11.17,12.37,8.34,6.23,9.43,10.83,4.62,7.96,10.62,12.34,9.13
U0050,33.64,18.54,23.93,35.17,16.89,1446,1471,1381,1278,1236,1334,1225,1132,1234,1380,980,23.45,22.73,22.34,24.52,25.59,24.71,26.45,29.43,25.89,25.48,31.24
U0051,63.43,50.0,56.51,53.64,60.99,156,115,50,109,92,101,26,48,57,24,39,54.89,55.8,59.21,54.03,55.36,55.57,61.86,61.33,59.08,64.41,60.6
U0052,30.94,24.58,7.89,28.81,24.21,1619,1411,1296,1594,1355,1604,1641,1340,1400,1301,1514,19.57,23.81,24.01,17.91,23.48,18.55,17.74,25.42,22.8,27.19,21.15
U0053,50.26,44.83,51.41,27.08,36.28,319,366,423,251,388,573,345,399,570,399,368,48.64,45.97,41.79,47.58,43.61,40.36,44.44,44.91,39.26,45.35,44.84
U0054,47.77,47.7,38.87,21.15,37.41,440,792,622,494,417,560,519,493,556,525,562,45.04,35.89,36.51,40.31,42.91,40.64,39.89,42.03,39.48,41.96,39.76
U0055,46.66,37.69,38.09,37.52,30.78,434,750,691,687,638,486,670,676,779,702,677,45.27,36.62,35.21,35.98,37.94,42.48,36.76,38.12,34.45,38.23,37.03
U0056,31.69,19.67,29.19,11.22,26.64,1342,1289,1480,1143,1495,1330,1288,1494,1231,1334,1265,25.62,25.98,20.2,27.08,20.53,24.78,25.28,22.14,25.96,26.49,25.6
U0057,21.04,16.59,12.94,34.09,30.09,1677,1695,1085,1745,1673,1633,1172,1254,1663,1528,1593,18.33,17.75,28.05,14.02,16.37,18.0,27.59,27.32,16.84,22.7,19.45
U0058,37.18,50.89,33.34,22.28,25.13,710,1013,980,840,841,932,852,951,815,1073,701,38.78,31.24,30.09,33.03,33.59,32.95,33.26,32.81,33.9,31.58,36.57
U0059,49.59,38.02,37.3,24.69,29.22,646,520,726,681,556,831,875,870,532,1026,724,40.06,42.07,34.49,36.12,39.68,34.91,32.83,34.48,40.01,32.44,36.27
U0060,10.78,9.66,0.0,0.0,1.94,1918,1868,1923,1937,1993,1982,1953,1968,1970,1861,1929,8.83,11.3,7.42,6.41,1.55,3.25,6.86,6.16,4.51,12.25,8.07
U0061,75.02,58.32,63.05,61.89,64.86,26,16,10,12,13,18,4,7,16,16,18,64.36,65.5,64.97,64.93,65.33,65.1,66.68,69.68,63.89,66.14,64.4
U0062,6.14,4.31,2.36,0.0,3.74,1967,1959,1996,1992,1983,1999,1997,1937,1982,1994,1978,5.01,6.29,0.04,0.0,2.21,-0.52,1.29,8.14,3.38,2.75,4.15
U0063,9.2,13.91,24.6,8.27,14.01,1884,1838,1736,1779,1699,1817,1707,1770,1588,1767,1699,11.04,12.43,14.13,13.02,15.82,12.52,15.98,15.2,18.76,16.44,16.2
U0064,19.77,34.56,2.52,0.0,20.16,1425,1808,1834,1630,1765,1661,1922,1568,1553,1626,1873,23.77,13.65,11.16,16.92,13.77,17.31,8.56,20.5,19.61,20.22,10.84
U0065,29.29,21.8,32.5,12.82,28.35,1205,1061,1430,1236,1212,1229,1202,963,1061,1088,1075,28.14,30.46,21.24,25.38,25.97,26.82,26.96,32.7,29.53,31.25,29.78
U0066,36.88,34.86,30.1,41.31,35.71,1021,787,728,699,912,816,591,636,762,668,698,32.03,35.99,34.44,35.79,32.12,35.18,38.35,38.84,34.76,39.04,36.6
U0067,36.01,34.87,25.34,22.07,22.52,1025,1360,1216,1168,834,1240,1313,1110,1362,1191,1016,31.97,24.95,25.46,26.71,33.7,26.63,24.72,29.91,23.5,29.36,30.63
U0068,38.67,22.79,20.23,30.93,19.89,1290,1275,1159,1126,1380,1433,1353,1477,1082,1274,1005,26.46,26.25,26.52,27.37,22.9,22.67,23.99,22.49,28.96,27.6,30.95
U0069,26.19,12.75,9.86,8.51,23.14,1791,1641,1658,1751,1610,1714,1526,1451,1879,1639,1875,14.54,18.86,16.34,13.85,17.72,15.99,20.38,22.93,10.01,19.86,10.81
U0070,67.42,59.91,58.01,46.95,54.3,80,65,44,52,50,64,39,111,35,76,62,58.55,59.24,59.51,58.59,59.69,59.07,60.93,55.95,60.85,59.09,58.08
U0071,30.74,33.61,20.6,33.87,16.25,1304,914,1545,1281,1103,1184,1048,1450,1173,1229,1484,26.31,33.42,18.98,24.51,27.95,27.68,29.44,22.94,27.11,28.59,21.77
U0072,35.72,23.37,35.85,23.67,33.64,1140,705,914,1004,1063,822,989,1155,1255,1159,723,29.6,37.52,31.45,29.89,29.04,35.08,30.54,29.13,25.54,29.93,36.29
U0073,18.2,4.22,1.26,7.83,0.0,1917,1967,1946,1888,1804,1993,1965,1993,1956,1910,1947,8.98,5.63,5.65,9.32,12.22,1.41,5.53,2.78,5.63,10.14,7.14
U0074,34.42,30.99,15.9,41.23,13.7,1032,1212,1212,1520,1044,1160,1272,1142,1352,1347,1278,31.79,27.35,25.61,19.66,29.52,28.14,25.52,29.25,23.68,26.24,25.4
U0075,60.53,58.17,43.59,53.21,50.52,191,171,158,157,157,77,207,104,213,237,209,53.27,52.39,51.48,51.23,51.89,57.56,49.78,56.47,49.98,50.43,50.01
U0076,62.55,71.02,59.11,49.71,73.66,19,22,11,38,23,21,15,16,8,49,44,66.13,63.93,64.85,59.57,63.08,64.44,64.8,67.14,66.36,61.12,60.0
U0077,52.72,36.11,31.53,45.13,26.67,925,852,717,595,869,631,581,485,572,627,655,33.95,34.62,34.69,37.95,32.97,38.82,38.58,42.25,39.25,39.74,37.58
U0078,39.03,26.52,28.8,13.58,25.56,1141,1117,1055,1051,1005,1121,1006,1197,1051,922,1039,29.59,29.44,28.86,28.96,30.21,28.77,30.23,28.32,29.73,34.09,30.3
U0079,35.13,31.74,0.0,12.58,22.77,1265,1124,1550,1691,1592,1359,1532,1313,1643,1465,1533,27.02,29.31,18.79,15.27,18.12,24.23,20.26,25.91,17.35,23.84,20.84
U0080,53.26,52.16,39.99,5.02,44.0,236,301,385,487,373,441,489,594,419,478,407,51.72,47.86,42.81,40.51,44.1,43.53,40.66,39.75,42.86,43.32,43.46
U0081,29.58,23.04,1.86,23.45,14.22,1768,1539,1447,1736,1803,1609,1460,1688,1698,1516,1595,15.49,21.1,20.76,14.24,12.28,18.43,21.84,17.59,15.71,22.84,19.41
U0082,47.94,29.76,39.77,27.81,22.07,976,1123,1075,906,763,984,688,1108,629,890,588,32.93,29.33,28.21,31.78,34.99,31.65,36.35,29.95,37.73,34.67,39.1
U0083,41.15,23.78,22.06,14.69,14.38,1354,1591,1448,1363,1046,1288,1324,1553,1078,1341,1232,25.22,19.9,20.72,23.0,29.48,25.85,24.57,20.92,29.0,26.35,26.38
U0084,40.86,43.27,36.65,37.02,34.07,765,547,695,691,602,615,514,533,546,692,493,37.52,41.49,35.15,35.97,38.72,39.22,40.06,41.03,39.71,38.52,41.31
U0085,58.07,44.84,61.35,42.68,37.47,296,128,365,128,247,370,283,387,142,91,132,49.6,54.63,43.42,52.87,48.31,45.29,46.34,45.16,53.15,58.5,53.8
U0086,16.56,11.22,21.94,0.0,28.36,1757,1531,1449,1803,1708,1775,1829,1750,1534,1721,1680,15.79,21.31,20.71,11.86,15.53,13.92,12.24,15.89,20.01,17.69,16.8
U0087,43.08,42.1,40.81,38.78,37.03,786,539,478,538,628,538,380,787,528,606,466,37.19,41.7,40.25,39.27,38.13,41.32,43.49,35.99,40.13,40.3,41.72
U0088,68.57,59.62,52.67,56.32,48.3,81,40,79,100,88,45,66,75,261,99,57,58.55,61.09,56.16,54.65,55.68,60.64,58.03,58.9,47.78,57.83,58.56
U0089,33.0,33.17,33.75,27.43,28.63,1163,871,1179,1042,1012,751,1055,831,914,1207,1099,28.92,34.29,26.13,29.18,30.15,36.67,29.34,35.18,32.12,29.04,29.3
U0090,41.73,20.05,28.3,18.12,28.45,995,954,1091,860,1060,1066,1086,1128,1002,1030,1164,32.41,32.58,27.98,32.59,29.11,29.75,28.77,29.5,30.49,32.38,27.93
U0091,37.82,22.44,27.3,26.08,36.89,1193,1389,984,948,1231,990,940,932,727,987,940,28.32,24.33,30.05,30.92,25.65,31.54,31.46,33.06,35.35,32.98,31.93
U0092,31.14,31.97,38.07,10.64,32.67,1243,1080,1065,1120,1092,1109,1320,1314,1170,899,877,27.37,30.07,28.63,27.46,28.26,28.9,24.58,25.9,27.2,34.54,33.08
U0093,13.44,8.68,0.0,11.83,19.24,1943,1742,1813,1927,1894,1807,1909,1748,1894,1939,1879,6.91,15.95,11.94,7.35,9.39,12.8,9.16,15.96,9.49,8.88,10.69
U0094,18.82,13.64,12.89,0.0,1.47,1839,1816,1804,1814,1831,1870,1864,1963,1957,1854,1855,12.48,13.35,12.26,11.58,11.36,10.88,10.83,6.77,5.55,12.53,11.45
U0095,47.92,40.96,46.92,52.7,39.6,334,358,389,316,420,535,287,279,275,480,268,48.03,46.12,42.62,45.38,42.8,41.38,46.28,49.09,47.32,43.21,48.04
U0096,85.88,68.11,61.43,42.03,61.19,13,12,15,11,9,6,17,14,11,13,7,67.86,65.8,64.4,65.0,66.62,68.61,64.28,67.34,65.28,67.29,67.99
U0097,20.84,13.43,4.89,0.0,10.52,1872,1820,1844,1959,1844,1823,1725,1930,1628,1950,1900,11.48,13.16,10.81,4.87,10.99,12.33,15.55,8.46,17.74,8.17,9.41
U0098,22.99,31.31,22.23,0.0,7.12,1438,1435,1773,1509,1519,1576,1618,1735,1536,1577,1635,23.59,23.43,13.19,19.94,19.85,19.25,18.18,16.29,19.92,21.49,18.17
U0099,44.29,33.42,37.68,20.95,41.4,585,762,551,584,808,777,819,668,547,466,811,41.25,36.46,38.26,38.18,34.18,36.25,34.02,38.25,39.7,43.65,34.61
U0100,42.48,45.29,37.92,29.94,37.48,832,678,538,656,607,653,773,809,749,761,686,36.06,38.2,38.51,36.75,38.61,38.42,34.73,35.63,34.98,37.28,36.84
U0101,47.9,43.76,39.92,22.97,44.89,447,560,432,387,466,419,367,397,497,547,219,44.94,41.15,41.5,42.93,41.66,43.95,43.82,44.95,40.8,41.44,49.6
U0102,43.87,34.61,30.7,26.46,39.49,950,804,560,601,740,843,624,817,759,811,568,33.44,35.58,38.09,37.78,35.45,34.7,37.58,35.47,34.82,36.37,39.61
U0103,26.17,32.4,11.8,16.86,18.7,1170,1677,1321,1616,1408,1522,1568,1352,1307,1602,1472,28.81,18.01,23.58,17.41,22.42,20.7,19.29,25.17,24.55,20.82,21.99
U0104,39.15,26.92,28.26,4.31,26.36,1253,1046,1148,1046,1210,1159,1166,1383,1243,1292,1202,27.15,30.78,26.78,29.04,26.03,28.15,27.67,24.74,25.76,27.31,27.15
U0105,46.17,47.81,31.62,24.72,39.84,451,624,524,602,536,499,554,465,563,744,697,44.91,39.43,38.87,37.76,40.32,42.11,39.09,42.61,39.37,37.55,36.64
U0106,64.58,53.91,59.67,40.07,58.55,147,69,76,72,91,78,71,62,120,168,136,55.23,59.1,56.49,56.11,55.39,57.53,57.5,59.67,54.55,53.6,53.64
U0107,34.36,34.61,26.57,0.0,35.65,974,1350,1153,918,1151,1151,1124,1002,1339,1017,1342,32.99,25.11,26.68,31.55,27.04,28.24,28.17,31.87,23.84,32.55,24.42
U0108,35.58,22.48,33.29,3.14,39.06,1081,963,942,1135,1307,1202,1541,959,1077,786,1212,30.78,32.43,30.83,27.22,24.22,27.4,20.04,32.76,29.03,36.8,26.81
U0109,65.04,51.78,54.64,10.41,54.25,245,137,257,94,128,197,155,136,172,170,138,51.44,54.01,47.11,55.06,53.15,51.71,51.99,54.78,51.89,53.52,53.44
U0110,21.57,20.5,8.4,18.45,12.94,1564,1691,1515,1706,1537,1733,1793,1759,1653,1650,1656,20.9,17.78,19.59,15.04,19.34,15.42,13.33,15.55,17.05,19.66,17.67
U0111,56.61,42.81,40.51,37.73,39.06,426,424,237,364,550,455,375,459,235,357,314,45.38,44.41,48.3,43.86,39.74,43.02,43.55,42.95,48.66,46.66,46.25
U0112,27.98,25.15,12.4,38.04,5.64,1514,1436,1651,1756,1688,1484,1505,1458,1802,1444,1503,21.98,23.42,16.49,13.62,16.1,21.77,20.9,22.85,12.56,24.16,21.34
U0113,45.96,49.27,35.87,17.69,20.31,491,506,898,721,615,473,512,846,700,704,902,43.81,42.34,31.74,35.31,38.44,42.69,40.11,34.86,36.05,38.16,32.57
U0114,42.07,39.2,34.84,12.45,30.12,924,743,750,1013,730,805,661,862,828,937,860,34.06,36.75,33.99,29.75,35.63,35.5,36.82,34.57,33.66,33.94,33.58
U0115,21.35,23.42,21.62,0.0,4.29,1641,1505,1869,1851,1428,1764,1810,1829,1800,1588,1681,19.0,21.98,9.85,10.65,22.05,14.66,12.79,13.23,12.68,21.17,16.72
U0116,29.0,16.06,8.67,0.0,2.44,1728,1650,1968,1711,1870,1780,1913,1751,1820,1763,1683,16.8,18.56,4.15,14.87,10.28,13.67,8.84,15.88,11.9,16.62,16.65
U0117,38.92,30.43,24.79,18.41,34.49,1070,958,713,1172,796,1044,1160,1063,689,1158,1199,31.01,32.53,34.75,26.53,34.33,30.27,27.73,30.73,36.41,29.99,27.19
U0118,19.67,10.71,14.52,0.0,6.76,1857,1891,1865,1801,1809,1796,1884,1635,1893,1886,1861,12.05,10.37,9.91,11.99,12.07,13.16,10.2,18.92,9.54,11.37,11.22
U0119,24.04,20.21,12.97,38.8,36.24,1532,1204,1078,1393,1402,1382,1249,1277,1238,1314,1560,21.53,27.51,28.13,22.01,22.59,23.65,25.98,26.7,25.85,26.97,20.12
U0120,45.1,42.49,29.3,15.71,26.49,852,825,880,853,911,910,1035,1076,1001,950,1088,35.56,35.09,32.04,32.76,32.15,33.17,29.69,30.52,30.5,33.7,29.42
U0121,36.52,29.62,25.5,0.0,37.6,1222,1189,1081,964,1078,996,1401,1023,1287,1126,1154,27.81,27.83,28.1,30.61,28.72,31.34,22.97,31.47,24.91,30.58,28.06
U0122,34.81,24.98,34.04,25.44,10.72,1392,1188,932,1028,1080,955,1165,1380,1432,1268,1078,24.62,27.83,31.04,29.4,28.68,32.48,27.68,24.76,22.25,27.7,29.76
U0123,38.73,45.99,36.39,38.85,18.7,718,661,1038,907,750,577,904,997,721,887,871,38.6,38.57,29.06,31.78,35.19,40.31,32.16,31.9,35.44,34.8,33.26
U0124,31.83,23.5,22.5,24.35,11.07,1219,1114,1428,1250,1585,1519,1483,1329,1547,1342,1591,27.88,29.48,21.31,25.03,18.26,20.85,21.28,25.54,19.69,26.34,19.51
U0125,36.26,28.31,52.18,21.1,27.15,918,912,785,778,731,789,817,913,871,999,545,34.22,33.44,33.51,34.04,35.62,35.88,34.04,33.5,32.78,32.79,40.28
U0126,35.06,25.49,27.45,17.4,27.83,1417,948,819,1321,1321,1207,1210,1279,992,1310,1087,23.91,32.73,32.94,23.69,24.05,27.31,26.76,26.64,30.65,27.1,29.43
U0127,22.39,32.71,17.71,43.68,17.13,1433,1418,1198,1617,1280,1338,1332,1338,1420,1115,1309,23.66,23.73,25.88,17.37,24.87,24.65,24.43,25.43,22.4,30.8,24.87
U0128,64.46,48.45,41.48,36.82,60.49,215,122,129,198,230,247,132,90,90,97,252,52.38,55.03,53.09,49.44,48.91,49.65,53.5,57.49,55.96,58.18,48.71
U0129,73.86,62.99,55.52,31.13,61.24,28,44,56,42,53,59,77,23,43,43,46,64.27,60.73,58.66,59.04,59.25,59.38,56.68,65.19,60.24,61.45,59.78
U0130,13.27,15.83,12.72,20.71,6.92,1856,1907,1899,1873,1864,1708,1834,1762,1706,1891,1825,12.06,9.89,8.4,9.84,10.4,16.1,12.05,15.48,15.59,11.25,12.41
U0131,42.27,40.01,28.66,0.0,36.76,838,637,900,985,932,811,1192,960,931,998,1026,35.94,39.25,31.7,30.19,31.7,35.28,27.23,32.75,31.74,32.81,30.48
U0132,61.29,57.13,41.21,40.59,55.17,161,275,102,323,83,125,178,230,126,164,306,54.77,48.7,54.03,45.12,56.3,54.3,51.07,50.44,54.25,53.78,46.67
U0133,43.09,30.61,22.18,49.63,38.22,869,915,486,842,1019,793,628,915,716,566,680,35.22,33.4,40.09,32.97,30.02,35.8,37.53,33.42,35.68,41.1,37.01
U0134,55.19,42.91,38.8,27.22,37.88,438,564,327,593,571,446,353,492,526,395,484,45.1,40.96,44.61,37.99,39.41,43.4,44.26,42.03,40.14,45.49,41.43
U0135,35.16,33.26,38.56,0.0,30.15,970,760,1052,1159,1043,977,1139,1009,1115,1259,831,33.1,36.47,28.9,26.92,29.52,31.9,28.03,31.74,28.49,27.92,34.12
U0136,16.32,20.85,7.55,0.0,4.93,1588,1796,1851,1910,1644,1798,1868,1803,1941,1784,1803,20.22,14.06,10.48,8.26,16.93,13.13,10.75,14.04,6.97,15.6,13.52
U0137,10.06,0.0,3.87,0.0,0.0,1998,1981,1983,1958,1984,1847,1993,1961,1987,1897,1910,-0.35,4.13,2.41,4.9,2.17,11.67,2.17,7.04,2.68,10.99,8.88
U0138,43.19,32.78,39.89,31.93,34.44,763,749,516,575,535,916,692,884,767,561,667,37.54,36.63,39.04,38.38,40.34,33.14,36.25,34.15,34.65,41.19,37.33
U0139,33.63,13.19,26.88,30.48,18.12,1644,1292,1237,1295,1449,1441,1444,1378,1629,1171,1377,18.97,25.95,25.16,24.25,21.48,22.56,22.27,24.78,17.72,29.76,23.89
U0140,39.85,18.79,28.12,39.3,16.71,1286,1133,1076,1155,1353,826,1076,1120,1197,1063,1098,26.54,29.22,28.19,27.0,23.51,34.98,28.95,29.72,26.68,31.7,29.32
U0141,43.13,25.63,38.97,16.63,51.43,767,712,370,567,784,740,744,883,955,845,506,37.45,37.42,43.33,38.52,34.56,36.86,35.09,34.17,31.28,35.75,41.13
U0142,21.04,17.85,16.98,19.48,0.0,1616,1792,1814,1536,1730,1625,1777,1760,1774,1850,1693,19.66,14.12,11.91,19.12,14.84,18.17,13.69,15.51,13.5,12.58,16.35
U0143,35.16,36.17,28.19,16.59,24.16,1177,974,1339,1057,970,1010,945,815,1303,830,1034,28.65,32.13,23.2,28.73,31.03,31.05,31.41,35.49,24.65,35.94,30.41
